"rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10","rule.data.num.11"
1,10,13,18,21,29,34,39,44,48,54
2,10,12,18,22,27,33,38,44,48,52
1,10,13,20,22,28,33,38,43,48,54
1,10,13,18,23,28,34,39,44,50,54
1,10,12,18,23,28,34,40,45,50,55
1,10,12,18,24,29,34,39,44,48,53
1,10,12,18,25,28,34,39,45,49,54
1,10,13,20,24,28,33,38,44,49,54
1,10,13,18,24,28,34,39,44,48,54
1,10,13,18,24,28,34,39,44,48,53
1,10,12,20,24,28,34,39,44,50,55
1,10,12,18,24,28,33,38,44,49,54
1,10,12,18,22,28,34,39,44,48,54
1,10,13,18,22,28,33,39,43,48,54
1,10,13,20,25,28,35,40,44,50,54
1,10,12,18,24,28,34,38,44,48,54
1,10,13,18,22,28,33,39,44,48,53
1,10,13,18,24,28,35,39,44,50,55
1,10,12,18,22,27,33,39,44,48,53
1,10,13,18,23,28,34,39,44,48,53
1,10,13,18,23,29,34,39,44,49,55
1,10,12,18,24,28,33,39,44,48,53
1,10,13,20,21,27,33,39,43,48,54
1,10,12,18,21,29,33,39,44,48,54
2,10,13,18,22,28,33,39,43,48,53
1,10,12,20,23,28,34,39,44,49,54
1,10,12,18,22,28,33,39,43,48,53
1,10,12,18,25,28,34,38,44,48,53
1,10,12,18,24,28,34,38,44,49,53
1,10,12,18,22,28,33,39,44,48,54
1,10,12,18,24,28,33,39,44,48,54
1,10,12,20,25,28,34,39,45,49,54
1,10,13,18,23,29,34,39,43,49,55
1,10,14,18,24,28,34,38,44,49,54
1,10,13,18,21,29,33,38,44,48,54
1,10,12,20,22,28,34,39,44,48,54
1,10,12,18,24,28,34,39,44,49,55
2,10,12,18,22,28,33,38,44,49,54
1,10,13,18,22,27,34,39,44,48,53
1,10,13,18,23,28,33,39,44,49,53
1,10,12,18,23,28,33,38,44,48,53
1,10,14,18,24,28,34,39,44,49,54
2,10,13,18,21,27,34,39,44,48,52
1,10,12,20,23,28,34,39,44,49,53
2,10,13,18,21,27,34,38,44,48,53
1,10,13,18,22,28,33,38,44,48,53
1,10,13,18,22,28,34,39,44,50,54
1,10,12,18,21,29,33,39,44,48,53
1,10,12,20,22,28,34,39,44,49,54
2,10,12,18,22,27,34,38,43,48,53
1,10,12,18,22,29,33,39,44,48,54
1,10,13,18,21,28,33,39,44,48,54
1,10,13,18,23,29,34,39,44,49,53
1,10,13,18,24,28,33,39,44,48,54
1,10,13,18,22,28,34,39,44,49,55
1,10,12,20,25,28,34,39,44,49,55
1,10,13,20,22,28,34,39,44,49,54
1,10,13,18,22,28,34,39,44,49,53
1,10,12,18,23,28,33,39,44,49,53
1,10,12,18,21,29,34,38,44,48,54
1,10,12,18,21,28,33,39,44,49,53
1,10,13,18,24,28,34,39,44,49,55
1,10,12,20,25,28,34,39,44,49,53
1,10,13,18,25,28,34,38,43,48,54
2,10,12,20,24,28,34,38,44,48,53
1,10,13,18,23,28,34,39,44,49,55
2,10,12,18,21,28,34,38,44,48,53
1,10,13,18,22,28,33,39,43,48,53
1,10,12,18,25,28,34,39,44,48,53
1,10,13,18,23,28,34,38,43,48,52
1,10,12,18,21,29,33,39,44,49,53
2,10,13,18,24,28,33,39,44,48,53
1,10,13,18,21,28,33,39,44,48,53
1,10,12,18,22,28,33,38,43,49,53
2,10,12,18,22,27,34,39,44,48,53
1,10,12,18,23,28,34,38,43,48,53
1,10,12,18,23,28,35,40,45,50,54
1,10,13,18,23,28,33,38,44,48,54
1,10,12,18,22,28,34,38,44,49,54
2,10,12,18,21,27,33,39,44,48,54
1,10,12,18,23,28,34,38,44,48,54
1,10,13,18,21,28,34,39,44,48,54
1,10,13,18,22,27,33,39,44,49,54
1,10,13,18,21,29,33,39,44,48,54
2,10,13,18,22,27,34,39,44,49,54
1,10,12,18,22,27,33,38,43,48,53
1,10,12,20,22,28,33,39,44,48,53
1,10,12,18,24,28,33,38,44,49,53
1,10,12,18,23,29,33,38,44,48,53
2,10,13,18,21,27,34,39,44,48,54
2,10,13,20,22,27,34,39,44,49,53
1,10,12,20,23,28,34,38,44,48,54
2,10,12,18,23,27,33,38,43,48,53
1,10,12,20,23,28,34,39,44,49,55
1,10,12,18,22,28,33,38,44,49,53
1,10,14,18,23,28,34,39,44,49,55
1,10,13,18,22,28,34,39,44,48,53
1,10,12,18,22,27,34,39,44,49,54
1,10,12,18,22,27,34,39,44,48,53
1,10,12,20,23,28,34,39,44,48,53
1,10,12,18,25,28,34,39,44,50,54
1,10,13,18,22,27,33,38,44,48,52
1,10,12,20,22,28,34,39,43,49,53
1,10,13,18,22,28,34,38,44,49,54
1,10,13,20,23,28,34,39,44,49,54
1,10,12,18,21,27,34,38,44,49,53
2,10,12,18,22,28,34,39,44,49,53
1,10,12,18,22,29,33,39,44,48,53
1,10,12,18,23,28,34,39,45,50,54
2,10,13,18,24,28,33,38,44,48,53
1,10,12,18,23,28,34,38,44,49,54
1,10,13,18,23,28,33,38,43,48,53
1,10,12,18,23,29,34,39,44,48,54
1,10,12,18,23,28,33,38,44,49,54
2,10,13,18,21,28,33,38,43,48,53
1,10,13,18,23,29,34,39,44,48,54
1,10,12,18,25,28,34,38,44,49,53
2,10,12,18,21,27,34,39,44,48,53
1,10,13,18,23,29,33,39,44,48,54
1,10,12,18,25,28,34,39,44,48,54
2,10,12,18,24,27,33,38,44,48,53
1,10,13,18,23,28,34,38,44,48,53
1,10,13,18,23,28,34,38,44,48,54
2,10,12,18,21,28,34,39,44,48,54
1,10,12,18,22,28,33,38,43,48,53
1,10,12,20,22,28,34,39,44,48,53
1,10,13,18,21,29,33,38,43,48,53
1,10,12,20,21,28,33,39,44,48,53
1,10,12,20,22,28,33,38,44,49,54
1,10,12,18,24,28,34,38,44,49,54
2,10,13,18,21,29,33,38,43,48,53
1,10,14,18,22,28,34,38,44,49,53
1,10,13,18,23,27,34,39,44,49,54
1,10,13,18,22,29,33,38,44,48,53
1,10,13,18,21,27,33,38,43,47,53
1,10,13,18,24,28,33,38,44,48,54
2,10,13,18,25,29,33,39,44,48,53
1,10,13,18,21,28,33,38,44,48,54
1,10,13,18,22,29,34,38,44,48,53
1,10,12,18,21,28,33,39,43,48,53
1,10,12,18,23,28,34,39,45,49,55
1,10,12,18,22,29,34,39,44,49,55
1,10,12,18,22,28,34,39,43,49,54
1,10,12,18,25,29,33,39,44,48,54
1,10,13,20,23,28,34,39,44,49,53
2,10,13,18,21,27,34,39,44,48,53
1,10,12,18,23,28,33,39,44,49,54
1,10,12,20,23,28,33,39,44,49,53
1,10,12,18,21,29,33,39,44,49,54
1,10,13,18,23,28,33,38,43,49,53
1,10,12,18,24,29,33,39,43,49,53
1,10,12,18,23,28,34,38,44,49,53
1,10,12,18,21,28,33,39,44,48,53
2,10,13,18,21,27,33,38,43,48,53
1,10,12,18,21,28,33,38,43,48,53
1,10,12,18,21,29,34,39,44,48,53
1,10,13,18,21,27,33,39,44,48,53
1,10,13,18,25,28,34,39,44,49,53
1,10,13,18,21,27,34,39,43,48,55
1,10,12,18,23,29,34,39,44,49,53
1,10,13,18,21,29,33,38,44,48,53
2,10,12,18,25,29,33,39,44,48,53
2,10,13,18,22,29,33,39,44,48,53
1,10,13,20,24,28,34,39,44,49,54
1,10,12,18,21,28,34,39,45,49,54
1,10,12,18,21,28,33,39,44,48,54
2,10,12,18,21,29,34,39,43,49,54
1,10,14,18,24,28,34,39,44,49,53
1,10,15,18,21,29,34,38,44,49,54
1,10,13,18,24,27,34,39,44,48,53
2,10,13,20,24,28,33,38,43,48,53
2,10,12,18,23,28,34,39,44,48,54
2,10,12,18,23,29,34,39,43,48,53
1,10,13,18,23,28,34,38,44,49,54
1,10,12,18,24,28,33,38,43,49,53
1,10,13,18,22,29,33,39,44,49,54
1,10,13,18,21,27,34,39,44,48,53
1,10,13,18,25,29,34,39,44,49,54
1,10,13,20,24,28,34,39,44,48,54
2,10,12,18,24,28,34,39,44,48,53
1,10,12,18,21,28,34,39,44,48,53
2,10,12,18,22,27,33,38,43,48,53
1,10,12,18,21,29,33,38,44,48,53
1,10,13,18,23,28,33,39,43,48,53
1,10,12,18,24,29,34,39,44,48,54
1,10,13,18,23,28,33,39,43,48,54
1,10,12,18,23,29,34,39,44,48,53
1,10,12,18,22,27,34,38,44,49,54
2,10,13,18,24,28,34,39,43,48,53
2,10,13,18,23,27,34,38,43,48,54
1,10,12,20,23,28,33,39,44,49,54
2,10,12,18,22,29,33,38,44,48,53
1,10,13,18,22,27,33,38,44,49,53
1,10,12,18,24,28,34,39,43,49,54
1,10,12,18,22,28,34,38,43,48,55
1,10,12,18,24,29,33,39,44,49,53
1,10,13,18,24,28,33,38,43,48,53
1,10,13,18,21,28,34,38,44,49,54
1,10,13,20,22,28,34,39,44,48,54
1,10,13,20,23,29,33,38,43,48,53
2,10,13,18,22,28,33,38,43,48,52
1,10,15,20,21,28,34,39,44,48,53
1,10,14,18,22,28,33,39,44,48,53
1,10,13,18,23,29,34,39,44,49,54
1,10,12,18,21,29,34,39,44,49,53
1,10,13,18,22,29,33,39,44,49,53
1,10,12,18,22,28,34,39,43,48,54
1,10,12,20,22,29,34,39,44,49,55
1,10,13,20,23,29,34,39,44,50,55
1,10,12,18,24,29,34,39,44,49,53
1,10,13,18,25,28,33,39,44,49,53
1,10,13,18,24,29,34,38,44,48,54
1,10,13,18,22,27,33,39,44,48,54
1,10,13,18,23,29,34,39,44,50,54
1,10,12,20,24,27,34,39,44,48,53
1,10,13,18,24,28,33,38,44,49,53
1,10,13,18,23,28,33,38,44,48,53
1,10,12,18,25,29,34,39,44,49,54
1,10,12,18,24,27,34,38,43,48,53
1,10,13,18,22,28,34,38,44,48,53
1,10,13,20,22,29,33,39,44,48,53
1,10,12,18,22,27,33,38,44,49,53
1,10,12,18,24,28,35,40,45,50,54
1,10,13,18,25,29,34,39,44,50,54
1,10,13,20,21,27,34,39,44,49,54
1,10,13,18,25,28,34,39,45,49,55
1,10,12,18,24,29,33,39,44,48,54
1,10,13,18,23,28,33,38,43,48,54
1,10,13,18,22,28,33,38,43,48,52
1,10,12,20,24,28,34,39,44,48,53
1,10,13,18,25,28,34,39,45,50,53
1,10,12,18,22,28,34,39,44,50,54
1,10,13,18,23,28,34,38,44,49,53
2,10,12,18,22,28,33,38,44,48,52
2,10,13,18,21,27,33,38,44,48,53
1,10,12,18,24,27,34,39,44,49,54
1,10,13,18,23,28,34,38,43,49,54
2,10,13,18,22,28,33,39,44,48,53
1,10,12,18,22,28,33,39,43,48,54
1,10,14,18,22,28,34,39,43,48,53
1,10,12,18,25,28,33,38,44,49,54
1,10,12,18,25,28,33,38,44,47,53
2,10,13,18,23,28,34,39,44,49,53
1,10,12,18,25,28,34,38,44,49,55
2,10,12,18,24,28,34,38,43,48,53
1,10,12,20,23,28,34,39,44,48,54
1,10,13,18,22,28,33,39,44,49,54
2,10,13,18,22,28,33,38,43,48,53
1,10,12,18,24,28,34,39,44,48,55
2,10,12,18,24,28,33,39,44,48,54
1,10,12,18,25,28,33,38,43,48,53
1,10,12,18,22,29,34,38,44,48,53
2,10,12,18,24,28,34,39,44,49,52
2,10,13,18,23,27,33,38,43,48,52
1,10,13,18,25,28,35,40,44,50,55
1,10,12,20,23,27,33,38,44,48,53
2,10,12,18,23,28,33,38,44,48,52
2,10,12,18,21,27,33,38,44,48,53
2,10,13,18,21,28,34,38,44,48,53
1,10,13,18,23,29,33,39,44,48,53
1,10,13,18,24,29,34,39,44,48,53
1,10,13,20,22,28,34,39,44,48,53
1,10,12,18,21,28,34,39,44,49,53
1,10,13,20,22,28,34,38,44,48,53
1,10,12,18,25,29,34,39,43,49,53
1,10,12,18,22,28,34,39,44,50,55
2,10,12,18,21,28,34,38,43,48,53
1,10,12,18,22,29,33,38,43,48,53
1,10,12,18,21,27,34,39,44,49,54
3,10,12,18,22,27,33,38,43,48,52
1,10,12,18,21,28,34,39,44,49,55
2,10,12,18,21,28,33,39,44,48,53
1,10,13,18,21,28,34,39,44,49,53
3,10,13,18,21,28,34,39,43,48,53
2,10,12,18,24,28,34,39,44,49,55
1,10,13,20,24,28,34,39,44,49,55
2,10,13,18,22,27,33,38,44,48,53
1,10,12,20,22,27,33,38,43,48,53
1,10,13,18,25,28,34,38,44,48,53
2,10,12,18,21,28,34,39,44,48,53
2,10,13,18,22,28,34,39,44,49,53
1,10,14,18,24,28,33,39,44,49,53
1,10,14,18,23,27,34,39,44,49,54
2,10,13,20,22,27,34,38,44,48,53
1,10,14,18,21,29,34,39,44,48,53
1,10,13,18,21,28,34,38,43,47,53
2,10,12,18,24,28,33,38,44,48,52
1,10,13,18,25,28,34,39,44,49,55
2,10,13,20,22,28,33,38,43,48,53
2,10,13,18,22,28,34,38,44,49,53
1,10,12,18,23,28,33,39,44,48,52
1,10,13,18,22,28,33,38,44,47,54
2,10,13,18,21,29,33,38,44,49,54
1,10,12,18,23,27,34,39,44,49,53
1,10,13,18,21,28,33,38,44,48,53
2,10,13,18,23,27,33,39,44,48,54
2,10,12,18,22,27,34,38,44,48,53
1,10,13,20,23,28,34,39,43,49,54
1,10,12,18,25,29,33,39,44,49,53
2,10,13,18,22,27,33,38,44,49,53
1,10,13,18,21,28,34,38,44,48,53
1,10,12,18,23,28,33,38,43,48,54
1,10,12,18,24,28,34,39,44,49,52
1,10,14,18,22,28,34,39,44,48,54
1,10,12,18,21,28,33,39,44,49,54
1,10,13,18,22,29,34,39,44,49,55
2,10,13,18,22,27,33,39,44,49,54
1,10,13,18,23,29,33,38,44,49,54
1,10,13,18,21,27,33,38,44,48,53
1,10,12,20,25,28,35,39,44,50,54
1,10,13,18,24,28,34,39,44,50,55
1,10,13,18,22,28,33,38,44,49,53
1,10,13,18,24,29,34,39,44,49,54
1,10,12,18,23,28,33,39,43,48,53
1,10,13,18,22,27,33,38,44,48,53
1,10,12,18,23,28,34,39,43,48,53
1,10,12,18,22,28,33,38,44,48,52
1,10,12,18,24,28,34,39,44,50,55
1,10,12,18,25,29,34,39,44,49,55
2,10,13,20,23,28,34,39,44,49,54
2,10,12,18,24,28,34,39,44,49,54
1,10,13,18,23,29,33,38,44,48,53
1,10,13,18,22,28,33,39,43,49,53
1,10,13,18,21,29,33,39,44,49,54
2,10,12,18,24,28,34,39,44,48,55
1,10,12,20,23,29,34,39,44,48,54
1,10,13,18,21,29,33,38,43,49,53
1,10,13,20,24,28,34,39,44,48,53
1,10,13,18,22,29,34,39,44,50,54
1,10,12,18,24,28,33,39,44,49,55
1,10,12,18,24,28,34,38,44,48,53
1,10,13,18,23,27,33,39,44,48,53
1,10,12,20,24,27,34,39,44,49,53
1,10,14,18,23,28,34,39,44,49,53
2,10,12,18,24,27,33,38,43,48,53
1,10,12,18,21,28,34,39,44,48,54
1,10,13,20,21,28,33,38,43,48,54
1,10,13,18,24,27,34,39,44,49,54
1,10,12,20,23,29,34,39,44,49,54
2,10,13,18,21,27,33,39,43,48,53
1,10,14,18,21,28,34,39,43,49,55
1,10,12,18,23,28,33,38,44,49,53
2,10,13,18,22,29,33,38,43,48,52
1,10,12,20,24,28,34,39,44,50,53
1,10,12,18,25,28,35,39,45,50,55
1,10,12,18,22,27,33,38,44,48,54
1,10,12,18,23,27,34,39,44,48,54
1,10,12,20,22,28,33,39,43,49,54
2,10,13,20,21,27,33,39,43,47,53
2,10,12,18,24,28,33,39,44,48,53
1,10,12,20,22,28,33,38,43,48,53
1,10,13,18,21,28,34,39,43,49,53
1,10,12,20,25,28,33,39,44,49,53
2,10,13,18,22,27,34,39,44,49,53
1,10,12,18,24,27,34,39,44,48,53
2,10,13,18,21,29,34,39,44,48,54
1,10,13,20,23,28,34,38,44,48,53
1,10,13,18,23,28,33,38,44,49,53
1,10,12,18,22,29,33,38,44,48,54
1,10,12,18,22,28,34,40,44,49,54
1,10,14,20,23,28,34,39,44,48,53
2,10,13,18,21,29,34,38,44,48,53
1,10,13,18,21,29,33,38,44,49,55
2,10,13,18,24,28,34,39,44,49,54
1,10,13,20,22,28,33,39,44,49,54
1,10,13,20,22,27,34,39,44,49,55
1,10,13,18,23,27,33,38,43,48,53
1,10,12,20,22,28,34,39,44,49,53
2,10,12,18,23,29,33,39,44,48,52
1,10,13,18,21,29,34,39,44,48,55
2,10,13,18,23,28,33,39,44,48,54
1,10,12,18,25,28,33,38,44,48,53
1,10,12,20,22,29,34,39,44,48,53
2,10,13,18,22,28,33,38,44,48,53
1,10,12,18,24,28,33,39,43,48,54
1,10,13,18,24,27,34,39,43,48,53
1,10,13,20,22,28,34,39,44,49,53
1,10,14,18,25,28,34,39,44,49,54
1,10,13,18,21,28,34,38,44,48,52
1,10,13,20,25,28,34,39,44,49,53
1,10,13,18,22,29,34,39,44,49,53
1,10,12,18,22,27,34,38,44,48,53
1,10,13,18,24,28,33,39,44,49,55
1,10,13,18,21,28,33,38,44,47,53
1,10,12,18,23,29,33,39,44,48,54
1,10,13,20,25,28,34,39,44,48,54
1,10,14,20,24,28,34,39,44,49,55
1,10,12,18,22,28,34,39,45,49,55
1,10,13,18,23,29,34,39,44,48,53
2,10,12,18,22,28,34,39,44,48,54
1,10,13,18,21,28,34,39,43,48,54
1,10,14,18,22,29,34,39,44,49,54
1,10,13,18,22,28,34,38,43,48,53
1,10,13,18,24,28,33,39,44,48,52
2,10,14,18,21,27,33,38,44,49,53
1,10,12,18,21,28,33,38,43,47,53
1,10,12,20,24,29,34,39,44,49,54
1,10,12,18,22,29,34,39,44,50,54
2,10,14,18,22,28,34,39,44,48,53
1,10,12,18,21,29,33,38,43,48,53
1,10,13,18,24,29,33,39,44,48,53
2,10,12,18,23,29,34,39,44,48,53
1,10,13,18,25,28,33,38,44,48,53
1,10,13,20,21,28,33,38,44,48,53
2,10,12,20,24,28,33,38,44,48,53
2,10,13,18,21,28,33,38,43,48,52
2,10,12,20,25,28,33,38,43,48,53
2,10,12,18,24,28,33,38,44,48,53
1,10,12,18,22,28,35,39,44,50,54
1,10,12,18,22,29,34,39,45,49,54
1,10,13,20,22,28,33,39,44,48,54
1,10,12,18,23,29,34,39,44,50,54
1,10,13,18,21,29,34,39,44,48,53
1,10,12,20,25,28,33,39,44,49,54
1,10,13,18,23,28,34,39,44,48,55
1,10,13,18,24,29,33,38,44,49,53
1,10,13,18,21,28,33,38,43,48,52
1,10,12,20,23,27,34,39,44,49,54
2,10,12,20,23,28,33,38,44,48,53
1,10,13,18,23,29,33,39,44,49,53
1,10,14,18,25,28,34,39,44,50,54
1,10,13,18,21,29,33,39,44,48,52
1,10,12,18,25,28,34,39,44,50,55
1,10,12,20,24,28,34,39,44,48,54
2,10,12,20,23,28,33,39,44,49,53
1,10,12,18,23,28,34,39,43,48,54
1,10,13,20,23,28,33,39,44,48,53
2,10,14,18,21,29,34,38,44,48,53
1,10,13,20,23,29,34,39,44,49,55
1,10,12,18,25,28,35,39,44,49,54
2,10,13,18,23,28,34,38,44,48,53
1,10,13,18,24,28,34,38,44,48,53
1,10,12,20,22,29,34,38,44,49,53
1,10,12,18,23,27,34,39,44,49,55
1,10,12,20,23,29,34,39,44,49,55
1,10,13,18,23,29,33,39,44,49,54
1,10,13,18,21,27,33,39,44,48,54
1,10,12,20,24,28,34,38,43,48,53
1,10,14,18,23,28,34,39,43,49,54
1,10,13,18,21,29,34,38,43,48,54
1,10,12,18,25,29,34,38,44,48,53
1,10,12,18,22,27,33,39,44,48,54
1,10,14,20,22,28,34,39,45,49,53
2,10,13,18,23,29,34,39,44,49,52
1,10,12,18,25,28,35,39,45,49,54
1,10,12,18,23,28,35,39,44,49,54
1,10,13,18,21,28,33,39,43,48,53
1,10,12,20,24,28,33,38,43,48,53
1,10,13,18,22,28,33,39,44,48,52
2,10,13,18,21,28,33,38,44,48,53
1,10,12,20,21,28,34,39,44,48,54
1,10,13,18,24,28,34,38,44,49,53
2,10,13,18,22,27,33,39,44,48,53
1,10,13,18,21,29,33,39,44,48,53
2,10,13,18,23,28,34,39,44,48,54
1,10,12,18,23,29,33,39,43,48,53
1,10,12,20,24,28,33,39,44,48,54
2,10,12,18,22,28,34,39,44,48,53
1,10,12,18,22,28,34,38,44,49,53
2,10,12,18,25,28,33,39,44,48,53
1,10,13,18,24,29,34,39,44,50,55
2,10,13,20,22,28,34,39,44,48,53
1,10,14,18,22,29,34,38,44,48,53
2,10,12,18,22,29,34,39,43,49,54
2,10,12,18,21,28,34,39,44,49,53
1,10,12,18,23,28,34,39,45,50,55
2,10,12,20,25,28,34,39,44,49,54
2,10,12,18,22,29,34,39,44,48,53
1,10,13,18,22,28,33,39,44,49,55
2,10,12,18,23,29,34,38,44,49,53
1,10,12,18,24,28,35,39,44,49,54
1,10,12,20,23,28,33,38,44,48,53
1,10,12,18,22,27,33,39,44,49,53
1,10,12,20,23,27,33,39,43,48,53
1,10,12,18,23,29,34,39,45,49,55
1,10,12,20,22,27,34,38,44,48,53
1,10,12,18,22,28,34,38,44,48,54
1,10,13,18,24,29,34,39,44,49,53
1,10,13,18,25,28,34,39,45,49,54
1,10,13,18,22,28,34,39,44,48,55
1,10,14,18,23,28,33,39,44,48,54
1,10,13,18,21,27,34,38,44,48,53
1,10,13,18,22,28,34,39,43,49,53
1,10,13,18,21,28,34,38,43,48,53
2,10,12,18,23,28,34,39,44,48,53
1,10,12,20,22,29,33,39,44,49,54
2,10,12,18,23,29,34,39,44,49,53
